"JORNAIS-OU-REVISTAS_Author-URI","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-1_NOME-DA-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-1_NOME-DA-ESPECIALIDADE","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-1_NOME-DA-SUB-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-1_NOME-GRANDE-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-2_NOME-DA-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-2_NOME-DA-ESPECIALIDADE","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-2_NOME-DA-SUB-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-2_NOME-GRANDE-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-3_NOME-DA-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-3_NOME-DA-ESPECIALIDADE","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-3_NOME-DA-SUB-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-3_NOME-GRANDE-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AUTORES_0_NOME-COMPLETO-DO-AUTOR","JORNAIS-OU-REVISTAS_Object_AUTORES_0_NOME-PARA-CITACAO","JORNAIS-OU-REVISTAS_Object_AUTORES_0_NRO-ID-CNPQ","JORNAIS-OU-REVISTAS_Object_AUTORES_0_ORDEM-DE-AUTORIA","JORNAIS-OU-REVISTAS_Object_AUTORES_1_NOME-COMPLETO-DO-AUTOR","JORNAIS-OU-REVISTAS_Object_AUTORES_1_NOME-PARA-CITACAO","JORNAIS-OU-REVISTAS_Object_AUTORES_1_NRO-ID-CNPQ","JORNAIS-OU-REVISTAS_Object_AUTORES_1_ORDEM-DE-AUTORIA","JORNAIS-OU-REVISTAS_Object_AUTORES_2_NOME-COMPLETO-DO-AUTOR","JORNAIS-OU-REVISTAS_Object_AUTORES_2_NOME-PARA-CITACAO","JORNAIS-OU-REVISTAS_Object_AUTORES_2_NRO-ID-CNPQ","JORNAIS-OU-REVISTAS_Object_AUTORES_2_ORDEM-DE-AUTORIA","JORNAIS-OU-REVISTAS_Object_AUTORES_3_NOME-COMPLETO-DO-AUTOR","JORNAIS-OU-REVISTAS_Object_AUTORES_3_NOME-PARA-CITACAO","JORNAIS-OU-REVISTAS_Object_AUTORES_3_NRO-ID-CNPQ","JORNAIS-OU-REVISTAS_Object_AUTORES_3_ORDEM-DE-AUTORIA","JORNAIS-OU-REVISTAS_Object_AUTORES_4_NOME-COMPLETO-DO-AUTOR","JORNAIS-OU-REVISTAS_Object_AUTORES_4_NOME-PARA-CITACAO","JORNAIS-OU-REVISTAS_Object_AUTORES_4_NRO-ID-CNPQ","JORNAIS-OU-REVISTAS_Object_AUTORES_4_ORDEM-DE-AUTORIA","JORNAIS-OU-REVISTAS_Object_AUTORES_5_NOME-COMPLETO-DO-AUTOR","JORNAIS-OU-REVISTAS_Object_AUTORES_5_NOME-PARA-CITACAO","JORNAIS-OU-REVISTAS_Object_AUTORES_5_NRO-ID-CNPQ","JORNAIS-OU-REVISTAS_Object_AUTORES_5_ORDEM-DE-AUTORIA","JORNAIS-OU-REVISTAS_Object_AUTORES_NOME-COMPLETO-DO-AUTOR","JORNAIS-OU-REVISTAS_Object_AUTORES_NOME-PARA-CITACAO","JORNAIS-OU-REVISTAS_Object_AUTORES_NRO-ID-CNPQ","JORNAIS-OU-REVISTAS_Object_AUTORES_ORDEM-DE-AUTORIA","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_ANO-DO-TEXTO","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_DOI","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_FLAG-DIVULGACAO-CIENTIFICA","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_FLAG-RELEVANCIA","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_HOME-PAGE-DO-TRABALHO","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_IDIOMA","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_MEIO-DE-DIVULGACAO","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_NATUREZA","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_PAIS-DE-PUBLICACAO","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_TITULO-DO-TEXTO","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_TITULO-DO-TEXTO-INGLES","JORNAIS-OU-REVISTAS_Object_DETALHAMENTO-DO-TEXTO_DATA-DE-PUBLICACAO","JORNAIS-OU-REVISTAS_Object_DETALHAMENTO-DO-TEXTO_ISSN","JORNAIS-OU-REVISTAS_Object_DETALHAMENTO-DO-TEXTO_LOCAL-DE-PUBLICACAO","JORNAIS-OU-REVISTAS_Object_DETALHAMENTO-DO-TEXTO_PAGINA-FINAL","JORNAIS-OU-REVISTAS_Object_DETALHAMENTO-DO-TEXTO_PAGINA-INICIAL","JORNAIS-OU-REVISTAS_Object_DETALHAMENTO-DO-TEXTO_TITULO-DO-JORNAL-OU-REVISTA","JORNAIS-OU-REVISTAS_Object_DETALHAMENTO-DO-TEXTO_VOLUME","JORNAIS-OU-REVISTAS_Object_INFORMACOES-ADICIONAIS_DESCRICAO-INFORMACOES-ADICIONAIS","JORNAIS-OU-REVISTAS_Object_INFORMACOES-ADICIONAIS_DESCRICAO-INFORMACOES-ADICIONAIS-INGLES","JORNAIS-OU-REVISTAS_Object_PALAVRAS-CHAVE_PALAVRA-CHAVE-1","JORNAIS-OU-REVISTAS_Object_PALAVRAS-CHAVE_PALAVRA-CHAVE-2","JORNAIS-OU-REVISTAS_Object_PALAVRAS-CHAVE_PALAVRA-CHAVE-3","JORNAIS-OU-REVISTAS_Object_PALAVRAS-CHAVE_PALAVRA-CHAVE-4","JORNAIS-OU-REVISTAS_Object_PALAVRAS-CHAVE_PALAVRA-CHAVE-5","JORNAIS-OU-REVISTAS_Object_PALAVRAS-CHAVE_PALAVRA-CHAVE-6","JORNAIS-OU-REVISTAS_Object_SEQUENCIA-PRODUCAO","JORNAIS-OU-REVISTAS_Object_SETORES-DE-ATIVIDADE_SETOR-DE-ATIVIDADE-1","JORNAIS-OU-REVISTAS_Object_SETORES-DE-ATIVIDADE_SETOR-DE-ATIVIDADE-2","JORNAIS-OU-REVISTAS_Object_SETORES-DE-ATIVIDADE_SETOR-DE-ATIVIDADE-3"
"http://www.ic.ufal.br/dac/author/lattes/5799087859446298","","","","","CIENCIAS_HUMANAS","","","","","","","","","Maria Lúcia Moreira Gomes","GOMES, M. L. M.","","1","Rosiane Lúcia Ribeiro","RIBEIRO, R. L.","","2","Gilmara Teixeira Barcelos Peixoto","BARCELOS, G. T.","5799087859446298","3","","","","","","","","","","","","","","","","","2013","","SIM","NAO","","Português","NAO_INFORMADO","JORNAL_DE_NOTICIAS","Brasil","Os caminhos dos cursos a distância","","24042013","","Campos dos Goytacazes-Rj","5","5","Jornal folha da manhã","","","","Educação a Distância","","","","","","313","Educação","",""
"http://www.ic.ufal.br/dac/author/lattes/1924119407995975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Amilton Rodrigo de Quadros Martins","MARTINS, Amilton Rodrigo de Quadros;MARTINS, A.R.Q.","1924119407995975","1","2012","","NAO","NAO","www.onacional.com.br","Português","VARIOS","JORNAL_DE_NOTICIAS","Brasil","Coluna Mensal de TI","","","","","","","Jornal o Nacional - Caderno Administrar","","","","","","","","","","111","","",""
"http://www.ic.ufal.br/dac/author/lattes/8953646779705648","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fernando da Costa Barbosa","BARBOSA, F. C.","","1","1995","","NAO","NAO","","Português","IMPRESSO","JORNAL_DE_NOTICIAS","Brasil","Sou menor de rua..","","28101995","","Uberlândia","","","Jornal Correio","","","","","","","","","","80","","",""
"http://www.ic.ufal.br/dac/author/lattes/6049688086485471","","Ciência da Computação","Planejamento Instrutivo","Inteligência Artificial","CIENCIAS_EXATAS_E_DA_TERRA","","","","","","","","","Bruno Queiroz Pinto","PINTO, B. Q.","","1","Carlos Roberto Lopes","LOPES, C. R.","","2","Marcia Fernandes","FERNANDES, M.","","3","","","","","","","","","","","","","","","","","2003","","SIM","SIM","http://www.ieeetclt.org/issues/january2003/index.html","Inglês","HIPERTEXTO","JORNAL_DE_NOTICIAS","Brasil","Using the IEEE LTSC LOM Standard in Instructional Planning","","30012003","14380625","","38","36","Learning Technology Newsletter","5","","","Educação a Distancia","Planejamento Instrucional","","","","","39","Educação","Formação Permanente e Outras Atividades de Ensino, Inclusive Educação À Distância e Educação Especial",""
"http://www.ic.ufal.br/dac/author/lattes/6291180108001122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Elizabeth Sueli Specialski","SPECIALSKI, E. S.","","1","1997","","NAO","NAO","","Português","IMPRESSO","REVISTA_MAGAZINE","Brasil","O Problema da correlação de alarmes: uma proposta de aplicação da teoria Rough sets.","","03041997","","Porto Alegre - RS","","","Revista de Informatica Teorica e Aplicada","IV","","","","","","","","","138","","",""
"http://www.ic.ufal.br/dac/author/lattes/9426650405097319","","","Sistemas de Informação","Metodologia e Técnicas da Computação","CIENCIAS_EXATAS_E_DA_TERRA","Administração","","Administração da Informação","CIENCIAS_SOCIAIS_APLICADAS","","","","","Eduardo Henrique Diniz","DINIZ, E. H.","0479416774019401","1","Adrian Kemmer Cernev","CERNEV, A. K.","3869859773177541","2","Lauro Gonzalez","GONZALEZ, L.","","3","João Porto de Albuquerque","de ALBUQUERQUE, J. P.","","4","","","","","","","","","","","","","2013","","SIM","NAO","http://www.europeanfinancialreview.com/?p=6882","Inglês","VARIOS","REVISTA_MAGAZINE","Inglaterra","Mobile Payments in Brazil: How to Make Them Happen?","Mobile Payments in Brazil: How to Make Them Happen?","01062013","17575680","London","58","55","The European Financial Review","","","","mobile payment","Aspectos Sociotécnicos de Sistemas de Informação","Ciencia Tecnologia e Sociedade","Sistemas de Informação","ICT for Development","","227","Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde","",""
"http://www.ic.ufal.br/dac/author/lattes/2808787853025159","","","","","","","","","","","","","","Rosa Malena Bergamo Sotero","SOTERO, R. M. B.","","1","Irani Ferreira da Silva Gerab","GERAB,IRANÍ FERREIRA","","2","João Gabriel","GABRIEL, J.","","3","","","","","","","","","","","","","","","","","2015","","SIM","NAO","http://www.unifesp.br/reitoria/dci/images/DCI/revistas/Entreteses/Entreteses_05_2015.pdf","Português","NAO_INFORMADO","REVISTA_MAGAZINE","Brasil","Fale conosco: desafio da informação transparente e de qualidade na internet","","01112015","","São Paulo","60","58","Entreteses","","","","","","","","","","248","","",""
"http://www.ic.ufal.br/dac/author/lattes/1435405686437314","","","","","","","","","","","","","","Douglas Gomes de Sousa","SOUSA, D. G.","","1","Juliano Lucas Gonçalves","GONCALVES, J. L.","","2","Anderson Priebe Ferrugem","Ferrugem, A.P.","","3","Ana Marilza Pernas Fleischmann","PERNAS, A. M.","","4","","","","","","","","","","","","","2011","","NAO","NAO","http://facol.com/si/sinforme/2011/Artigo02.pdf","Português","MEIO_DIGITAL","REVISTA_MAGAZINE","Brasil","Mineração de Dados para Descoberta de Padrões: Um Estudo de Caso aplicado à Base de Dados da Delegacia Regional do Trabalho","","","","","15","1","Revista SInforme","","","","","","","","","","110","","",""
"http://www.ic.ufal.br/dac/author/lattes/7484786835288826","","","","","","","","","","","","","","Natalie Fernández del Real","REAL, N. F.","6628803480863026","1","Annabell Del Real Tamariz","ANNABELL D.R. TAMARIZ","","2","","","","","","","","","","","","","","","","","","","","","2014","","NAO","NAO","http://sispibic.uenf.br/Revista2014.pdf","Português","MEIO_DIGITAL","REVISTA_MAGAZINE","Brasil","Professor virtual animado para processo de ensino","","22102014","","http://sispibic.uenf.br/Revist","1","1","Revista PIBIC: Conhecendo a Ciência","","Revista de divulgação científica: de jovem para jovem.&#10;Edição 1, 2014.","","","","","","","","398","","",""
"http://www.ic.ufal.br/dac/author/lattes/6223538827801940","","","Informática na Educação Especial","Informática na Educação","CIENCIAS_EXATAS_E_DA_TERRA","Educação","Educação Especial","Tópicos Específicos de Educação","CIENCIAS_HUMANAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Liliana Maria Passerino","PASSERINO, Liliana Maria","","1","2003","","NAO","NAO","","Português","IMPRESSO","REVISTA_MAGAZINE","Brasil","Ong RedEspecial Brasil","","05062003","","Porto Alegre","8","5","Revista PORTAL","10","","","ONG Redespecial-Brasi","inclusão digital","informática na educação especial","","","","215","Formação Permanente e Outras Atividades de Ensino, Inclusive Educação À Distância e Educação Especial","",""
"http://www.ic.ufal.br/dac/author/lattes/4948383420305269","","","Tecnologia Educacional","Ensino-Aprendizagem","CIENCIAS_HUMANAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alexandra Lorandi Macedo","MACEDO, Alexandra Lorandi","","1","2011","","NAO","NAO","","Português","IMPRESSO","REVISTA_MAGAZINE","Brasil","Entrevista concedida: É brincando que se aprende","","01102011","2179698","Paraíba","22","22","Administradores","","","","Habilidades para o trabalho","Jogos Digitais","","","","","215","","",""
"http://www.ic.ufal.br/dac/author/lattes/2578245512402601","","","","","","","","","","","","","","Amanda Balbinot","Amanda, B","","1","Milton Antonio Zaro","ZARO, M. A.;ZARO, MILTON A.;ZARO, MILTON ANTÔNIO;ZARO, MILTON ANTONIO;Zaro, Milton Antonio;Zaro, Milton A.","2578245512402601","2","","","","","","","","","","","","","","","","","","","","","2009","","NAO","NAO","","Português","IMPRESSO","REVISTA_MAGAZINE","Brasil","Aplicação de Jogos e Simuladores como Instrumentos para Educação e Segurança no Trânsito","","","","","10","1","Revista Novas Tecnologias da Educação","","","","","","","","","","9229","","",""
